epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,574.963,0.27816,0.23558,0.03084,0.26315,0.83022,0.98062,0.94655,0.96465,0.92974,0.96897,0.93461,0.9454,0.92391,0.2286,0.31853,0.00299,0.21951,0.80873,0.0003368,0.0003368,0.0003368
86,581.536,0.2803,0.2336,0.03187,0.26353,0.82797,0.98449,0.9414,0.96317,0.92841,0.97611,0.93267,0.95063,0.92867,0.23074,0.32185,0.00278,0.22075,0.81036,0.000317,0.000317,0.000317
87,588.119,0.28352,0.24202,0.03035,0.2674,0.83015,0.98304,0.9414,0.96164,0.92688,0.974,0.93437,0.94984,0.92629,0.22575,0.3182,0.00178,0.21101,0.8085,0.0002972,0.0002972,0.0002972
88,594.698,0.28051,0.23839,0.03065,0.26187,0.82685,0.9844,0.94264,0.96238,0.928,0.96937,0.93392,0.94299,0.92423,0.22739,0.33166,0.00172,0.20737,0.80967,0.0002774,0.0002774,0.0002774
89,601.261,0.27704,0.21957,0.03257,0.26058,0.82802,0.97679,0.9444,0.95802,0.92598,0.97018,0.9389,0.95044,0.93,0.22157,0.31954,0.00192,0.20631,0.80809,0.0002576,0.0002576,0.0002576
90,607.792,0.27176,0.22456,0.02928,0.25918,0.82461,0.9769,0.94389,0.95849,0.92776,0.97432,0.9414,0.95189,0.93176,0.22768,0.29092,0.00209,0.21174,0.80948,0.0002378,0.0002378,0.0002378
91,617.766,0.2303,0.18821,0.01017,0.2292,0.79794,0.9842,0.94763,0.96365,0.92718,0.97384,0.93766,0.95008,0.92423,0.23672,0.31429,0.00152,0.2183,0.81214,0.000218,0.000218,0.000218
92,624.407,0.22169,0.17951,0.00863,0.2182,0.79797,0.98699,0.94625,0.96523,0.93006,0.97139,0.93129,0.94427,0.92121,0.23757,0.33653,0.00165,0.21231,0.81531,0.0001982,0.0001982,0.0001982
93,631.023,0.21981,0.17477,0.00917,0.21656,0.79763,0.98334,0.94264,0.96144,0.92869,0.9698,0.93766,0.94759,0.92821,0.23541,0.32123,0.00182,0.20746,0.81435,0.0001784,0.0001784,0.0001784
94,637.598,0.22279,0.17731,0.00759,0.21702,0.79703,0.9879,0.9414,0.96255,0.9282,0.97594,0.93641,0.94883,0.92551,0.22928,0.32618,0.00156,0.20962,0.80889,0.0001586,0.0001586,0.0001586
95,644.149,0.21564,0.17284,0.00822,0.21136,0.79554,0.98574,0.94803,0.96518,0.92917,0.97407,0.93681,0.94562,0.92549,0.23181,0.32634,0.00159,0.2076,0.81101,0.0001388,0.0001388,0.0001388
96,650.732,0.21404,0.16579,0.00803,0.2132,0.78931,0.98151,0.94638,0.96038,0.9286,0.97158,0.93772,0.94626,0.92233,0.22331,0.32797,0.00193,0.20369,0.80969,0.000119,0.000119,0.000119
97,657.32,0.21088,0.16201,0.00754,0.21018,0.79187,0.98575,0.94514,0.95775,0.92661,0.97794,0.93972,0.95213,0.92503,0.22917,0.32201,0.00179,0.20278,0.81119,9.92e-05,9.92e-05,9.92e-05
98,663.906,0.20684,0.1622,0.00899,0.20441,0.79286,0.9844,0.94763,0.96143,0.92762,0.97342,0.94015,0.95301,0.92765,0.22615,0.31625,0.00147,0.20251,0.81146,7.94e-05,7.94e-05,7.94e-05
99,670.491,0.20406,0.15773,0.00739,0.20231,0.79309,0.98068,0.94956,0.96434,0.92885,0.96849,0.93766,0.94548,0.92721,0.22437,0.31702,0.00149,0.2027,0.81088,5.96e-05,5.96e-05,5.96e-05
100,677.105,0.20339,0.15308,0.00764,0.20539,0.79226,0.9832,0.94855,0.96326,0.92928,0.97286,0.93863,0.94527,0.92679,0.22356,0.317,0.00155,0.20225,0.81066,3.98e-05,3.98e-05,3.98e-05
