t,cmd_pitch,cmd_roll
3.544,0.224303700625292,0.000173230833590274
3.545,0.224363663935677,0.000177958466461482
3.546,0.224423627246062,0.000182686099332691
3.547,0.224479869844658,0.000183931563629753
3.548,0.224534091846123,0.000183285975828892
3.549,0.224588313847588,0.000182640388028032
3.55,0.224642535849053,0.000181994800227171
3.551,0.224694218474807,0.000178014654650518
3.552,0.224743941241425,0.000171460938139438
3.553,0.224793664008042,0.000164907221628359
3.554,0.224843386774659,0.000158353505117276
3.555,0.224891715969438,0.00014939377265703
3.556,0.224938539951571,0.000137835275258049
3.557,0.224985363933704,0.000126276777859068
3.558,0.225031848867277,0.000113932305364563
3.559,0.225077156560549,9.88587796610565e-05
3.56,0.225122464253822,8.37852539575501e-05
3.561,0.225167771947094,6.87117282540437e-05
3.562,0.225212351615608,5.14922427389268e-05
3.563,0.225256906022581,3.41982951271755e-05
3.564,0.225301460429555,1.69043475154241e-05
3.565,0.225345741281874,-8.78468993546155e-07
3.566,0.22538991003427,-1.88616190167076e-05
3.567,0.225434078786667,-3.6844769039861e-05
3.568,0.225478051594459,-5.44304455118316e-05
3.569,0.225521787019662,-7.15345914968164e-05
3.57,0.225565522444865,-8.86387374818087e-05
3.571,0.225609155424911,-0.000105295027653501
3.572,0.225652365616798,-0.000120103030004761
3.573,0.225695575808684,-0.000134911032356021
3.574,0.225738786000571,-0.000149719034707288
3.575,0.22578194399621,-0.000161323846015177
3.576,0.225825098536298,-0.000172716596251288
3.577,0.225868253076386,-0.000184109346487398
3.578,0.225912021410348,-0.000192682239080291
3.579,0.225956077569758,-0.000199932820035537
3.58,0.226000133729167,-0.000207183400990782
3.581,0.226044590208147,-0.000212556652905749
3.582,0.226089591344315,-0.000215375693561356
3.583,0.226134592480483,-0.000218194734216962
3.584,0.226179213161255,-0.000220302074530578
3.585,0.22622192913866,-0.000218846374205912
3.586,0.226264645116066,-0.000217390673881247
3.587,0.226307361093472,-0.000215934973556581
3.588,0.226342229921395,-0.000211125660584075
3.589,0.226376316497423,-0.000205982038974335
3.59,0.22641040307345,-0.000200838417364595
3.591,0.226436048599193,-0.000194057224848487
3.592,0.226457192968906,-0.000186402804249305
3.593,0.226475323036731,-0.00017847949716238
3.594,0.226481540789694,-0.000169493569069693
3.595,0.226487758542656,-0.000160507640977002
3.596,0.226479786326952,-0.000151204010835593
3.597,0.226467126199889,-0.000141795422108445
3.598,0.226454466072826,-0.000132386833381297
3.599,0.226421764907658,-0.000123884600747463
3.6,0.226383466352046,-0.000115635510136975
3.601,0.226345167796434,-0.000107386419526488
3.602,0.226306869240822,-9.91373289160011e-05
3.603,0.226245945560145,-9.31964397664332e-05
3.604,0.226182026403199,-8.7561147278918e-05
3.605,0.22611568700002,-8.23241962002777e-05
3.606,0.226030552022126,-8.01807550329201e-05
3.607,0.225945417044231,-7.80373138655616e-05
3.608,0.225853291067024,-7.73980282965285e-05
3.609,0.225747896524971,-7.96135543504265e-05
3.61,0.225642501982918,-8.18290804043245e-05
3.611,0.225526319337108,-8.68936041788194e-05
3.612,0.225402197583839,-9.40547428509236e-05
3.613,0.225278075830569,-0.000101215881523028
3.614,0.225140503538949,-0.000112586935251178
3.615,0.224999715687201,-0.000124964434568717
3.616,0.224858386400867,-0.00013753874046287
3.617,0.224703370468592,-0.000155088018406468
3.618,0.224548354536317,-0.000172637296350065
3.619,0.224390200964643,-0.000191489117331848
3.62,0.224223523029548,-0.000213879697492664
3.621,0.224056845094454,-0.00023627027765348
3.622,0.223885539388881,-0.000260796535592186
3.623,0.223709606694005,-0.000287458110803147
3.624,0.223533673999129,-0.000314119686014096
3.625,0.223351965151528,-0.000343552578823605
3.626,0.223168131135665,-0.000374005097754972
3.627,0.222984297119801,-0.000404457616686353
3.628,0.222798012910114,-0.000435905807847446
3.629,0.222607008065255,-0.000469272298410553
3.63,0.222416003220396,-0.00050263878897366
3.631,0.222224998375536,-0.000536005279536782
3.632,0.222027434775601,-0.000570678929253034
3.633,0.221829542954699,-0.00060541799337117
3.634,0.221631651133797,-0.000640157057489305
3.635,0.221429895060006,-0.000674860262760275
3.636,0.221225139490367,-0.000709535633811705
3.637,0.221020383920728,-0.000744211004863134
3.638,0.220808486319939,-0.000777736367869049
3.639,0.220596420227228,-0.000811234600348331
3.64,0.2203809005036,-0.000843907886683662
3.641,0.220159999556279,-0.000875295795443622
3.642,0.219939098608958,-0.000906683704203582
3.643,0.219709698760322,-0.000935700655517932
3.644,0.21947823843209,-0.000964142790246479
3.645,0.219244081717833,-0.000991793741717915
3.646,0.219000299278786,-0.00101662027850369
3.647,0.21875651683974,-0.00104144681528948
3.648,0.218503875102754,-0.00106370972620181
3.649,0.218246092124722,-0.00108448490990859
3.65,0.217987583854165,-0.0011050639633995
3.651,0.217714283363943,-0.00112164297396139
3.652,0.217440982873721,-0.00113822198452327
3.653,0.217158838667962,-0.00115274083742874
3.654,0.216866341832625,-0.00116484802874236
3.655,0.216573844997288,-0.00117695522005599
3.656,0.216277129922538,-0.00118829738231445
3.657,0.215961643605797,-0.00119623515138464
3.658,0.215646157289056,-0.00120417292045483
3.659,0.215330670972314,-0.00121211068952503
3.66,0.21499303362714,-0.0012175403355751
3.661,0.214653105426625,-0.00122271059199752
3.662,0.214313177226109,-0.00122788084841994
3.663,0.213957195462328,-0.00123241420753269
3.664,0.213591747383343,-0.00123657200699022
3.665,0.213226299304359,-0.00124072980644774
3.666,0.212851622385497,-0.00124518856285901
3.667,0.212459944749281,-0.00125020172092585
3.668,0.212068267113064,-0.00125521487899269
3.669,0.211674611654051,-0.00126042141691916
3.67,0.211256434651662,-0.00126802552687501
3.671,0.210838257649272,-0.00127562963683086
3.672,0.210420080646882,-0.00128323374678671
3.673,0.209981007868052,-0.00129401409883153
3.674,0.209536626779509,-0.0013056013353094
3.675,0.209092245690966,-0.00131718857178727
3.676,0.208634746741754,-0.00133131259574221
3.677,0.208165149283347,-0.00134777628066703
3.678,0.20769555182494,-0.00136423996559186
3.679,0.207220251409639,-0.00138196196448527
3.68,0.206727184977666,-0.00140360389953854
3.681,0.206234118545693,-0.0014252458345918
3.682,0.20574105211372,-0.00144688776964507
3.683,0.205227699464668,-0.00147322187970227
3.684,0.204713628189262,-0.0014997222070783
3.685,0.204199556913857,-0.00152622253445432
3.686,0.203673092364156,-0.00155544272472089
3.687,0.203141022659683,-0.00158589303804457
3.688,0.20260895295521,-0.00161634335136824
3.689,0.202070817556664,-0.00164784413752583
3.69,0.201524002498533,-0.0016808480899312
3.691,0.200977187440402,-0.00171385204233657
3.692,0.20042881233369,-0.00174696862333496
3.693,0.199870368211053,-0.00178081214265471
3.694,0.199311924088415,-0.00181465566197446
3.695,0.198753479965778,-0.00184849918129422
3.696,0.198187258920843,-0.00188151726662101
3.697,0.197619739559232,-0.00191439755004138
3.698,0.197052220197621,-0.00194727783346174
3.699,0.196480353568643,-0.00197865163036508
3.7,0.195905335379978,-0.00200893329702262
3.701,0.195330317191312,-0.00203921496368016
3.702,0.194753108135168,-0.00206833710857775
3.703,0.19417084774597,-0.00209478582359062
3.704,0.193588587356772,-0.00212123453860347
3.705,0.193006141052405,-0.00214758221784528
3.706,0.192416532761503,-0.00217003770887479
3.707,0.1918269244706,-0.00219249319990431
3.708,0.191233414362016,-0.00221321289480002
3.709,0.190635648539025,-0.00223203935602463
3.71,0.190037882716033,-0.00225086581724924
3.711,0.189430487463841,-0.0022664900537095
3.712,0.188822382040084,-0.00228187812570712
3.713,0.188209278529144,-0.00229609997112799
3.714,0.187588168164145,-0.00230845354061477
3.715,0.186967057799146,-0.00232080711010155
3.716,0.186332635482099,-0.00233107537235421
3.717,0.185695627002026,-0.00234093851412203
3.718,0.185053182681306,-0.00235025496032074
3.719,0.184397451598753,-0.0023582351249222
3.72,0.183741720516201,-0.00236621528952366
3.721,0.183068551271524,-0.00237319472825405
3.722,0.182389361068196,-0.00237982864151862
3.723,0.181710170864867,-0.0023864625547832
3.724,0.181012687949927,-0.00239258627945088
3.725,0.180306704166053,-0.00239847291262082
3.726,0.179600720382179,-0.00240435954579076
3.727,0.178872523091392,-0.0024101644514258
3.728,0.178139712119449,-0.00241595238248815
3.729,0.177406901147506,-0.0024217403135505
3.73,0.176648530712812,-0.00242794069039092
3.731,0.175889459577419,-0.00243415237423916
3.732,0.175127769065835,-0.00244045517921568
3.733,0.174346614316849,-0.00244743509322288
3.734,0.173565459567862,-0.00245441500723008
3.735,0.172769332547093,-0.00246226970550057
3.736,0.171970753686868,-0.00247026765728672
3.737,0.171163194386042,-0.00247906194021519
3.738,0.170349647066952,-0.00248838720437671
3.739,0.169531943608651,-0.00249827305891304
3.74,0.168706194977553,-0.00250924406632937
3.741,0.167879690595299,-0.00252037472277644
3.742,0.167044646524941,-0.00253330934990623
3.743,0.166209602454583,-0.00254624397703601
3.744,0.16536927069945,-0.00256103956647416
3.745,0.164527793737524,-0.00257623820313821
3.746,0.163684182751921,-0.00259285794786384
3.747,0.162838912976666,-0.00261058232857545
3.748,0.161993214456691,-0.00262929200604537
3.749,0.16114653118541,-0.00265026473708742
3.75,0.160299847914128,-0.00267123746812947
3.751,0.159453332930198,-0.00269304972989629
3.752,0.158607428301006,-0.00271790685246666
3.753,0.157761523671815,-0.00274276397503702
3.754,0.156915880889245,-0.00276811159429272
3.755,0.1560720070808,-0.00279677289367905
3.756,0.155228133272356,-0.0028254341930654
3.757,0.154384323073615,-0.00285422390803438
3.758,0.153541973090632,-0.00288596151376823
3.759,0.152699623107649,-0.00291769911950207
3.76,0.151857344705405,-0.00295099967236527
3.761,0.151015096749668,-0.00298496501692873
3.762,0.150172261342506,-0.00301953984663069
3.763,0.149328388013978,-0.00305519152731773
3.764,0.148484433027317,-0.00309086442253494
3.765,0.147636719992818,-0.00312751364694257
3.766,0.14678900695832,-0.00316416287135021
3.767,0.145936977639484,-0.00320093235898024
3.768,0.145082927452723,-0.00323775815339398
3.769,0.144225843064445,-0.00327432924028137
3.77,0.143362893594811,-0.00331040798005389
3.771,0.142499935187203,-0.00334648535530495
3.772,0.14162567330496,-0.00338083707846143
3.773,0.140751411422718,-0.00341518880161789
3.774,0.139866945858504,-0.00344741651357938
3.775,0.138977238623791,-0.00347855311285748
3.776,0.138087531389078,-0.0035096897121356
3.777,0.137181401948982,-0.00353655456935405
3.778,0.136267072530969,-0.00356128644931776
3.779,0.135352743112955,-0.00358601832928147
3.78,0.134438413694942,-0.00361075020924519
3.781,0.133522075040889,-0.0036349001277312
3.782,0.13258121539135,-0.00365194770757254
3.783,0.13164035574181,-0.00366899528741388
3.784,0.13069949609227,-0.00368604286725523
3.785,0.129740336897594,-0.00369746379970672
3.786,0.128778242217196,-0.00370798214452794
3.787,0.127816147536798,-0.00371850048934916
3.788,0.126843181373031,-0.00372573011119397
3.789,0.125864304283824,-0.00373117162412547
3.79,0.124882821047712,-0.00373592175936873
3.791,0.12389173412084,-0.00373812415737389
3.792,0.122900647193967,-0.00374032655537905
