t,ref_x,ref_y,ref_z,ref_yaw,meas_x,meas_y,meas_z,roll,pitch,yaw,w1,w2,w3,w4
9.703,0.986930999999936,0,1,0,0.993287781917462,-0.0004912722123281,1.00162405582982,-0.00161197806735699,0.073871728980013,-0.000136398688808492,0,0,0,0
9.704,0.986977999999936,0,1,0,0.99325149370568,-0.00048857468890862,1.00162349469092,-0.00159858302632757,0.0747047658996642,-0.000136794032894956,0,0,0,0
9.705,0.987024999999936,0,1,0,0.993216140201775,-0.000486072357108108,1.00162299156541,-0.00157210967477327,0.0755078501248771,-0.000137160498657819,0,0,0,0
9.706,0.987071999999936,0,1,0,0.993180786697869,-0.000483570025307597,1.00162248843989,-0.00154563632321898,0.07631093435009,-0.000137526964420681,0,0,0,0
9.707,0.987118999999936,0,1,0,0.99314631321186,-0.000481243411565839,1.00162205923926,-0.00150733864903571,0.0770815483451815,-0.000137844472117247,0,0,0,0
9.708,0.987165999999936,0,1,0,0.993112032657759,-0.000478955321609075,1.00162164624565,-0.00146644865357472,0.0778450436856914,-0.000138151246426289,0,0,0,0
9.709,0.987212999999936,0,1,0,0.993078267426154,-0.000476760289578991,1.00162128693,-0.00141924963523761,0.0785874873250193,-0.000138421876937535,0,0,0,0
9.71,0.987259999999936,0,1,0,0.993045041768841,-0.000474662694911423,1.00162098381848,-0.00136544468260701,0.079307888540743,-0.000138654662673444,0,0,0,0
9.711,0.987315999999936,0,1,0,0.993011980682268,-0.000472590276292881,1.00162070052003,-0.00130991241950701,0.0800211183528699,-0.000138875296500002,0,0,0,0
9.712,0.987371999999936,0,1,0,0.99297980441764,-0.000470653217829325,1.00162052374739,-0.00124509319431653,0.0806957907924202,-0.000139030595041758,0,0,0,0
9.713,0.987427999999936,0,1,0,0.992947628153013,-0.000468716159365765,1.00162034697475,-0.00118027396912594,0.0813704632319717,-0.000139185893583514,0,0,0,0
9.714,0.987483999999936,0,1,0,0.992916323963126,-0.000466883117892857,1.00162028445467,-0.00110817807865458,0.0820059796915713,-0.000139281603133827,0,0,0,0
